"","alpha_code","taxonomy","common_name","scientific_name","pct_in_CCS_Lower","pct_in_CCS_Upper","CCSpop_Score","CACurrent_breeding","regional","why?","exposure_model","iucn_status","iucn_trend","ESA","CA_status","OR_status","WA_status","NOM_059_ECOL_2001","COSEWIC","propOR","propCA","propALL","CV","DV","rescaled_propALL","rescaled_propCA","rescaled_propOR","rescaled_DV","rescaled_CV","highest_sens"
"49","MAMU","Alcidae (Auks)","Marbled Murrelet","Brachyramphus marmoratus",0.71,2.41,2,TRUE,"Y",">1% gobal population uses CCS","MAMU","EN","decreasing","threatened","endangered","endangered","endangered",NA,"threatened",0.000268007645231539,0.000332620591323642,0.000600628236555181,0.00036,0.555,0.0563430571919786,0.0410870861367259,0.0585150711214663,0.703947368421053,0.00198296978887204,"DV"
"50","PECO","Phalacrocoracidae (Cormorants)","Pelagic Cormorant","Urile pelagicus",7,7.49,2,TRUE,"Y",">1% gobal population uses CCS","PECO","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000416167119858697,0.000592189841868008,0.0010083569617267,0.00116,0.159,0.106394081478415,0.0855083408996874,0.0981204225744699,0.182894736842105,0.00664878105680625,"DV"
"51","PIGU","Alcidae (Auks)","Pigeon Guillemot","Cepphus columba",3.26,4.65,2,TRUE,"Y",">1% gobal population uses CCS","PIGU","LC","stable",NA,NA,NA,NA,NA,NA,0.000619860549343759,0.00107741680546821,0.00169727735481197,0.00023,0.583,0.190962985254389,0.168547416301489,0.1525708712125,0.74078947368421,0.00122477545783273,"DV"
"52","COLO","Gaviidae (Loons)","Common Loon","Gavia immer",29.44,35.2,3,FALSE,"Y",">1% gobal population uses CCS","COLO","LC","stable",NA,NA,NA,NA,NA,NA,0.000614811474627375,0.0015523501255945,0.00216716160022188,0.00067,0.476,0.248643953817327,0.249824894140273,0.151221174345944,0.6,0.00379097165519655,"DV"
"53","DCCO","Phalacrocoracidae (Cormorants)","Double-crested Cormorant","Nannopterum auritus",2.46,2.65,2,TRUE,"Y",">1% gobal population uses CCS","DCCO","LC","increasing",NA,NA,NA,NA,NA,NA,0.000395745385488992,0.0006427670125975,0.00103851239808649,0.00164,0.154,0.110095833119722,0.0941638398906227,0.0926613726620197,0.176315789473684,0.00944826781756678,"DV"
"54","BRAC","Phalacrocoracidae (Cormorants)","Brandt's Cormorant","Urile penicillatus",67.11,71.01,4,TRUE,"Y",">1% gobal population uses CCS","BRAC","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000214683099963138,0.000483277595298063,0.000697960695261202,0.00116,0.124,0.0682911711064549,0.0668696976800312,0.0442605837743607,0.136842105263158,0.00664878105680625,"DV"
"55","COPE","Procellariidae (Petrels, Shearwaters)","Cook's Petrel","Pterodroma cookii",0,59.34,3,FALSE,"Y",">1% gobal population uses CCS","COPE","VU","increasing",NA,NA,NA,NA,NA,NA,4.91088884457386e-05,9.2534078403836e-05,0.000141642966849575,0.00044,0.196,0,0,0,0.231578947368421,0.00244955091566546,"DV"
"56","CATE","Laridae (Gulls, Terns, Skimmers)","Caspian Tern","Hydroprogne caspia",7.83,11.75,2,TRUE,"Y",">1% gobal population uses CCS","CATE","LC","increasing",NA,NA,NA,NA,NA,NA,0.000357777603948852,0.0006334936622279,0.000991271266176752,0.01513,0.392,0.104296714993967,0.0925768496812266,0.0825119891307117,0.489473684210526,0.0881255103231074,"DV"
"57","GUMU","Alcidae (Auks)","Guadalupe Murrelet","Synthliboramphus hypoleucus",NA,NA,NA,TRUE,"Y","precautionary - poor understanding of nonbreeding range and whether it breeds on Channel Islands","SCMU-GUMU-CRMU","EN","decreasing",NA,"threatened",NA,NA,"P (endangered), doesn't recognize split with SCMU",NA,0.000506740924257657,0.00134927726120332,0.00185601818546098,0.00058,0.537,0.210449326734795,0.215072120359685,0.12233222114276,0.680263157894737,0.00326606788755395,"DV"
"58","SCMU","Alcidae (Auks)","Scripps's Murrelet","Synthliboramphus scrippsi",11.73,23.33,2,TRUE,"Y",">1% gobal population uses CCS","SCMU-GUMU-CRMU","VU","decreasing",NA,"threatened",NA,NA,"P (endangered) (doesn't recognize the split w/ GUMU)",NA,0.000506740924257657,0.00134927726120332,0.00185601818546098,0.00055,0.537,0.210449326734795,0.215072120359685,0.12233222114276,0.680263157894737,0.00309109996500642,"DV"
"59","CRMU","Alcidae (Auks)","Craveri's murrelet","Synthliboramphus craveri",NA,NA,2,FALSE,"Y",">1% gobal population uses CCS","SCMU-GUMU-CRMU","VU","decreasing",NA,NA,NA,NA,"A (threatened)",NA,0.000506740924257657,0.00134927726120332,0.00185601818546098,7e-04,0.589,0.210449326734795,0.215072120359685,0.12233222114276,0.748684210526316,0.00396593957774408,"DV"
"60","MUPE","Procellariidae (Petrels, Shearwaters)","Murphy's Petrel","Pterodroma ultima",NA,NA,2,NA,"Y",">1% gobal population uses CCS","MUPE","LC","unknown",NA,NA,NA,NA,NA,NA,0.000106300221301556,0.000257568101631285,0.000363868322932841,0.00049,0.208,0.0272794287174797,0.0282430155920568,0.0152881403198847,0.247368421052632,0.00274116411991135,"DV"
"61","ANMU","Alcidae (Auks)","Ancient Murrelet","Synthliboramphus antiquus",33.33,33.33,3,FALSE,"Y",">1% gobal population uses CCS","ANMU","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000269180595412226,0.000304980466509716,0.000574161061921942,0.0011,0.494,0.0530940606936222,0.0363569071056407,0.0588286191025174,0.623684210526316,0.00629884521171119,"DV"
